rank,run,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,checkpoint_path,summary_path,composite_score
380,lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.125_e10,checkpoint-52,52,0.9515571066737176,0.5202912309989888,0.7347496766597033,0.6868810017833773,1.427569962153298e-12,0.5266409360188564,0.6139004585632118,-98.39293971043736,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-52,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-52/evals/TOFU_SUMMARY.json,0.333853839295745
381,lr6e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.25_e10,checkpoint-13,13,0.8998846927285195,0.3211658134371816,0.6703109330311418,0.5204741828653513,1.2127544312107394e-10,0.5703700334272906,0.5960589370850831,-94.9552951911584,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.25_e10/checkpoint-13,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.25_e10/checkpoint-13/evals/TOFU_SUMMARY.json,0.3328425899284301
382,lr6e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10,checkpoint-28,28,0.8395741146802902,0.1667067412883489,0.5141367486864329,0.4063748195786006,1.2940880677508261e-08,0.5964901177597727,0.5787485516499217,-91.5677508722726,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-28,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-28/evals/TOFU_SUMMARY.json,0.3326881181264065
383,lr5e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-14,14,0.9082722988724709,0.3599748505707453,0.6914896623790264,0.5407609508875585,4.869254633582969e-10,0.5635263597920589,0.5989523813578453,-98.18483118572762,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.3320358843662278
384,lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-14,14,0.815365574657917,0.1517937173562152,0.4223046170733869,0.4079099102197904,4.024806511439489e-06,0.6061752986190903,0.5735776566008909,-80.92723908109647,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.3299589020578921
385,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-14,14,0.9575320160388948,0.5842065257576574,0.7754697392880917,0.714280817310754,2.962348735693602e-13,0.5132401422284479,0.6174190218648846,-98.08077692337278,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.32982640230215937
386,lr6e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.125_e10,checkpoint-39,39,0.818012333214283,0.1484727690879674,0.4748160271719098,0.4114929829449961,8.056669472003223e-07,0.6049472929753145,0.5750814834337138,-87.82565128906651,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-39,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr6e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-39/evals/TOFU_SUMMARY.json,0.32936106063482085
387,lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10,checkpoint-14,14,0.9118921333551406,0.3787096626748786,0.7079689778387547,0.5238819768917802,1.2127544312107394e-10,0.5599468113911139,0.5988097147717063,-98.67812546652102,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.32904733435860145
388,lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.25_e10,checkpoint-26,26,0.9558645695447922,0.5630983334298313,0.7835061247646808,0.6927644830899411,6.540866008411473e-13,0.5181319239163023,0.6157107914924386,-98.67812546652102,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.25_e10/checkpoint-26,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta0_gamma0.25_e10/checkpoint-26/evals/TOFU_SUMMARY.json,0.3284979342229894
389,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-14,14,0.960741955935955,0.5948318784511123,0.800557157471776,0.7368858512262603,5.86730162802883e-14,0.5134587504191709,0.6190952136554648,-98.9478957763299,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.3282356561468417
