method,split,tag,lr,eff_b,mb,ga,epochs,checkpoint,ckpt_step,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,score,is_config_best,is_split_best,is_global_top30,summary_path,eval_path
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-25,25,0.006760732303569208,0.6121466814074819,0.8321650967001915,0.1623309151334323,0.5553475772778311,,,,0.12165940779423919,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-25/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-25/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-30,30,0.01430154804770646,0.6110070869108363,0.8271856710314751,0.15586032689813822,0.5642904909566346,,,,0.13378563599373605,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-30/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-30/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-35,35,0.01430154804770646,0.611391186981836,0.8214544266462326,0.1317241480363496,0.5648166373331556,,,,0.1491034476882514,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-35/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-35/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-40,40,0.006760732303569208,0.6120791917981221,0.8230448320508004,0.1317241480363496,0.567190169807273,,,,0.14145543405811634,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-40/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-40/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-45,45,0.006760732303569208,0.6122876662332711,0.8194381043314933,0.1317241480363496,0.5660840449410373,,,,0.1434672723529189,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-45/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-45/evals/TOFU_EVAL.json
NPO,forget01,lr1e-5_b8_mb4_ga2_e10,1e-5,8,4,2,10,checkpoint-50,50,0.01430154804770646,0.6118070809326784,0.8200354382395745,0.1317241480363496,0.5664352230115824,,,,0.15022883584242286,True,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-50/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-5_b8_mb4_ga2_e10/checkpoint-50/evals/TOFU_EVAL.json
NPO,forget01,lr2e-5_b16_mb4_ga4_e10,2e-5,16,4,4,10,checkpoint-3,3,0.01430154804770646,0.6236472239140024,0.9198606386780739,0.30585570653064426,0.5498888646307727,,,,0.02509059935734978,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_EVAL.json
NPO,forget01,lr2e-5_b16_mb4_ga4_e10,2e-5,16,4,4,10,checkpoint-6,6,0.2656871402817289,0.601041983448025,0.7885058134794235,0.11163653923052219,0.6325483569019822,,,,0.416657947374781,False,False,False,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_EVAL.json
NPO,forget01,lr2e-5_b16_mb4_ga4_e10,2e-5,16,4,4,10,checkpoint-9,9,0.404587405685253,0.5906961071266922,0.7446436807513237,0.06562579405415651,0.6706543349556024,,,,0.5901487754092051,False,False,True,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_EVAL.json
NPO,forget01,lr2e-5_b16_mb4_ga4_e10,2e-5,16,4,4,10,checkpoint-12,12,0.5786001416508443,0.5943137296289805,0.725471705198288,0.06436966660317613,0.6775157756161514,,,,0.7779931853790928,False,False,True,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr2e-5_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_EVAL.json
