run,lr,batch,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-26,26,0.5278303017467261,0.05132972757213427,0.03822034153719414,0.20831923167275973,0.11228360286766195,0.6783616392793813,0.5879849701761629,48.5201171499121
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-39,39,0.5123877401649952,0.049784298780355736,0.03248823023163368,0.23943383234799087,0.052139087188847716,0.6677132570819301,0.5692774733287111,48.84384152168276
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-52,52,0.5167026148736477,0.048794526181820404,0.03282159325830662,0.24090722865413272,0.052139087188847716,0.6642341670772567,0.5759399591674331,48.81301062913318
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-65,65,0.5236775650084019,0.04929109049268183,0.03382863315917575,0.2312859073534669,0.11228360286766195,0.6604627994048882,0.568110402649551,48.296593178927594
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-78,78,0.5105942390114069,0.047920920446521915,0.03681250053267604,0.24824350809822593,0.052139087188847716,0.6616205968754951,0.5772199206429487,48.28503159422151
lr5e-5_b16_mb8_ga2_e10,5e-5,16,checkpoint-91,91,0.5103001215681434,0.04874459176815904,0.038281541974290574,0.21457424514630807,0.0878382826713132,0.6619589559160864,0.5705119929280569,48.92862647619412
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-14,14,0.6030767153203488,0.06454659675182445,0.11616692435520236,0.28179137518415587,0.0878382826713132,0.7401832451672976,0.5055389677287238,27.639895170704502
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-21,21,0.562836105376482,0.05338269964129425,0.06229650676694291,0.21279292676898623,0.39352743357720954,0.6996184401750714,0.5602973070207837,45.702944343193614
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-28,28,0.5326446700841189,0.05361415014715247,0.047742811998068645,0.18207015649417285,0.39352743357720954,0.6882008730332267,0.5763242888763963,47.818714344408995
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-35,35,0.5343937714397907,0.05721086292920888,0.04189368982319138,0.19011978024147255,0.17793352788293415,0.6897473237514707,0.57789650341524,48.169415747160556
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-42,42,0.5340130715817213,0.05608383763744877,0.04035759503665758,0.20314800479449688,0.06801920461119272,0.6880168805749487,0.5877066142850587,48.53938645775558
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-49,49,0.5326620932668448,0.05397994680465399,0.03966270183591405,0.20529921695493222,0.11228360286766195,0.6853536532764402,0.5885490942126479,48.90550330678193
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-56,56,0.5336473882943392,0.054100627698962934,0.0394957468636494,0.198820397577623,0.1420746514551761,0.685149328973172,0.5895177510785151,48.9787266765872
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-60,60,0.533148003295064,0.054960968494151705,0.039411705704369526,0.19977702997840674,0.1420746514551761,0.6846411192959806,0.5908596741694702,49.01726529227418
