run,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,checkpoint_path,summary_path
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-65,65,0.8204662266373635,0.14121406534944567,0.3870144490990788,0.3971208550527507,8.056669472003223e-07,0.6012001978451488,0.6016648013473673,-79.10821642067086,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-65,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-65/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-78,78,0.8125017240643502,0.1360366792828512,0.3420073265489191,0.39987453764081693,2.3797467071606504e-06,0.603118827948486,0.6008083258622209,-74.97687681902622,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-78,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-78/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-91,91,0.8126978275179862,0.13872689068548316,0.3369891512952745,0.39813463344559935,4.024806511439489e-06,0.6076072625207868,0.6048748670883013,-73.44689377625299,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-91,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-91/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-104,104,0.8121538406610489,0.13723313225093525,0.332811970775947,0.40567075966468996,1.1150402145378719e-05,0.6062683811815032,0.6044470209574235,-72.5026976919219,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-104,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-104/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-117,117,0.8121532571315765,0.1360675917103947,0.3300946719944477,0.4067516776145069,1.1150402145378719e-05,0.6069189475436422,0.6042549582514052,-72.22521965897562,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-117,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-117/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-120,120,0.8120115318894386,0.13660813225093527,0.3299809551052749,0.41179108492155636,1.1150402145378719e-05,0.6060348264201736,0.604549751992173,-72.12116539662077,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-120,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-120/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-13,13,0.9231674745678902,0.43100130498125716,0.7187148236483335,0.5698983652840829,6.5689645859369454e-12,0.5402597445131211,0.5875131698001849,-95.51410511861967,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-13,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-13/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-26,26,0.8098613864183426,0.1585111378145964,0.37006440945900976,0.39313303019939666,1.1150402145378719e-05,0.614962930936198,0.5746388386580122,-65.29983042002469,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-26,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-26/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-39,39,0.7795779827237129,0.1244499672893181,0.26921207425650207,0.38155415035293927,0.0004306111484986726,0.6215993767848373,0.5781716414783096,-52.64760288998804,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-39,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-39/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-52,52,0.7745692789554596,0.11820728533664529,0.2576942758914083,0.3741635636352166,0.0002829222008740643,0.6314544170933556,0.5873406781810129,-44.56605518042763,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-52,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-52/evals/TOFU_SUMMARY.json
